,Iter,Noise,Clip,Priv_Calc_Time,Epsilon,Train_Time,Revenue,Regret,Reg_Loss,Lag_Loss,Net_Loss,w_rgt_mean,update_rate
0,1000,1.5,10,10.195534944534302,2.567155438548857,373.28496289253235,4.773935317993164,0.9547870755195618,2.8482813835144043,7.7870988845825195,5.86144495010376,4.1693925857543945,0.25
1,2000,1.5,10,22.897889137268066,3.353715979939124,760.8947739601135,5.001774787902832,1.0003550052642822,2.5503733158111572,-18.373008728027344,-20.82440948486328,3.3444442749023438,0.25
2,3000,1.5,10,34.49095606803894,3.9907017632974426,1254.1443510055542,4.943120956420898,0.9886242151260376,1.5968290567398071,25.819496154785156,22.473203659057617,7.832409858703613,0.25
3,4000,1.5,10,42.36390995979309,4.547935057794576,1742.9270379543304,4.042182922363281,0.8084365129470825,2.042379856109619,-20.756649017333984,-22.756452560424805,5.604973316192627,0.25
4,5000,1.5,10,55.93390989303589,5.053247154844248,2226.9959230422974,4.168837070465088,0.8337674140930176,2.1723873615264893,25.35279655456543,23.356346130371094,6.051985740661621,0.25
5,6000,1.5,10,67.32246708869934,5.520428766021707,2704.9857835769653,5.159579450264573e-05,1.031831470754696e-05,1.541482774758407e-10,-0.0004019176703877747,-0.00045351331937126815,3.8949172496795654,0.25
6,7000,1.5,10,75.53579902648926,5.96046507358499,3179.3877289295197,1.0018230676651,0.2003646194934845,0.12545442581176758,3.6321587562561035,2.7557902336120605,13.642979621887207,0.25
7,8000,1.5,10,90.11815214157104,6.376412271708286,3647.3396368026733,1.5122601985931396,0.302452027797699,0.28586313128471375,-0.2984377145767212,-1.5248347520828247,6.772320747375488,0.25
8,9000,1.5,10,92.74783205986023,6.773738244744633,4113.825855255127,2.5705018043518066,0.5141003727912903,0.5563152432441711,-41.60078430175781,-43.61497116088867,0.321176141500473,0.25
9,10000,1.5,10,109.63394498825073,7.156461404658424,4574.169612169266,4.993015289306641,0.9986030459403992,3.11627459526062,-146.24400329589844,-148.12074279785156,-2.2063369750976562,0.25
10,11000,1.5,10,116.11197996139526,7.523053856655192,5034.992354631424,5.072084426879883,1.0144169330596924,3.215754508972168,-44.563568115234375,-46.419898986816406,6.305079460144043,0.25
