,Iter,Noise,Clip,Priv_Calc_Time,Epsilon,Train_Time,Revenue,Regret,Reg_Loss,Lag_Loss,Net_Loss,w_rgt_mean,update_rate
0,1000,1,1,7.934206962585449,4.8898327706515605,215.04352045059204,7.650720119476318,0.1727161407470703,0.024312123656272888,1.0465834140777588,-6.579824447631836,1.495431661605835,0.25
1,2000,1,1,15.33100414276123,6.33117179873628,426.7863128185272,7.580933570861816,0.14884045720100403,0.019954567775130272,1.1189221143722534,-6.442056655883789,1.656487226486206,0.25
2,3000,1,1,22.622849941253662,7.511216451316322,636.0937721729279,7.225067138671875,0.11531198024749756,0.011669921688735485,1.1157777309417725,-6.09761905670166,2.111304759979248,0.25
3,4000,1,1,30.026952028274536,8.554617806429139,842.4826102256775,7.0264973640441895,0.07659228891134262,0.004682993981987238,0.7957051992416382,-6.226109027862549,2.0540413856506348,0.25
4,5000,1,1,37.24909806251526,9.503426030945558,1046.2156598567963,7.094901084899902,0.08767911791801453,0.006390855647623539,0.8470362424850464,-6.24147367477417,2.1551127433776855,0.25
5,6000,1,1,44.64746809005737,10.393605238169098,1245.8011701107025,7.004818439483643,0.0821579098701477,0.00620664656162262,0.8429449200630188,-6.155666828155518,2.186492443084717,0.25
6,7000,1,1,52.24211096763611,11.226383489195285,1440.0807089805603,6.871118068695068,0.057409923523664474,0.002626409288495779,0.8700084686279297,-5.998483180999756,2.9671642780303955,0.25
7,8000,1,1,59.418493032455444,12.021040919069907,1629.712772846222,6.775933265686035,0.04324253275990486,0.0014972696080803871,0.5644396543502808,-6.209996223449707,2.5947189331054688,0.25
8,9000,1,1,67.15953707695007,12.794445633463088,1838.7420256137848,6.910271644592285,0.06263045221567154,0.0036103809252381325,0.6029915809631348,-6.303669452667236,2.2282114028930664,0.25
9,10000,1,1,73.02565479278564,13.526390490715782,2045.7129616737366,7.211835861206055,0.10289095342159271,0.015225892886519432,0.6011441946029663,-6.595465660095215,2.1716723442077637,0.25
10,11000,1,1,81.31107902526855,14.243876922831461,2229.807472229004,6.928183078765869,0.05384336784482002,0.0026450641453266144,0.667860746383667,-6.25767707824707,2.774447202682495,0.25
11,12000,1,1,90.58065295219421,14.950893998470425,2412.2170009613037,6.734476089477539,0.04365607351064682,0.0017124814912676811,0.6612346768379211,-6.071528911590576,3.407515048980713,0.25
12,13000,1,1,92.48075795173645,15.615616206692591,2593.787328004837,6.567302703857422,0.031438592821359634,0.0008598180720582604,0.5125656127929688,-6.053877353668213,3.7382092475891113,0.25
13,14000,1,1,92.86264991760254,16.28033841491476,2782.568198442459,6.575887680053711,0.02933618426322937,0.0007814139826223254,0.5551302433013916,-6.019975662231445,4.1537370681762695,0.25
14,15000,1,1,94.43373203277588,16.945060623136925,2979.3155274391174,6.505093574523926,0.02863048017024994,0.0007061593933030963,0.5352989435195923,-5.969088554382324,3.8860888481140137,0.25
15,16000,1,1,104.16438508033752,17.574250712500987,3173.17568731308,6.4822916984558105,0.026846731081604958,0.0006326899165287614,0.5568100214004517,-5.924849033355713,4.028163909912109,0.25
16,17000,1,1,111.48954200744629,18.1890933876058,3364.2714369297028,6.625169277191162,0.022848375141620636,0.00044076427002437413,0.5476099848747253,-6.077118873596191,4.255497932434082,0.25
17,18000,1,1,134.22111201286316,18.803936062710616,3559.5342252254486,6.400853157043457,0.016358371824026108,0.00021952019596938044,0.4431511461734772,-5.957482814788818,4.807522773742676,0.25
18,19000,1,1,114.90039396286011,19.41877873781543,3770.1271471977234,6.418231964111328,0.01810395158827305,0.000279052066616714,0.5073626041412354,-5.910590171813965,4.916882038116455,0.25
19,20000,1,1,127.94858813285828,20.033621412920244,3964.2142341136932,6.429068565368652,0.01684543304145336,0.00024044941528700292,0.4829176068305969,-5.945910453796387,5.090115070343018,0.25
20,21000,1,1,136.3251509666443,20.61119442071961,4148.630211114883,6.462882041931152,0.015844104811549187,0.00020938781381119043,0.43327152729034424,-6.0294013023376465,5.055340766906738,0.25
21,22000,1,1,155.1470808982849,21.178801071050977,4309.350841522217,6.447825908660889,0.017770934849977493,0.0002581364242359996,0.4780466556549072,-5.969521522521973,4.895391941070557,0.25
22,23000,1,1,166.11641001701355,21.746407721382344,4449.891688585281,6.514022350311279,0.01964445598423481,0.000327636138536036,0.5462465882301331,-5.9674482345581055,5.094418525695801,0.25
23,24000,1,1,174.077378988266,22.31401437171371,4580.135452747345,6.573083877563477,0.016025448217988014,0.00021189142717048526,0.4683568477630615,-6.104515075683594,5.360278606414795,0.25
24,25000,1,1,168.59063410758972,22.881621022045078,4716.178189992905,6.3596272468566895,0.01530897431075573,0.00020119645341765136,0.5278311371803284,-5.831594944000244,6.277937412261963,0.25
25,26000,1,1,160.7925510406494,23.449227672376445,4869.801012516022,6.429339408874512,0.012632643803954124,0.0001315357512794435,0.4560966193675995,-5.973111152648926,6.508500099182129,0.25
26,27000,1,1,197.11785101890564,24.016834322707812,5047.816899299622,6.380319595336914,0.011379947885870934,0.00010429337271489203,0.41100263595581055,-5.969212532043457,6.82869815826416,0.25
27,28000,1,1,160.4202001094818,24.55884273239559,5251.704352855682,6.319809913635254,0.011840619146823883,0.00011672086111502722,0.4247477650642395,-5.89494514465332,6.593855857849121,0.25
28,29000,1,1,184.3905520439148,25.08164062938058,5418.740659713745,6.38093376159668,0.011646448634564877,0.00011344425001880154,0.44854432344436646,-5.932275772094727,7.2751054763793945,0.25
29,30000,1,1,185.48500394821167,25.60443852636557,5587.730432271957,6.240512847900391,0.00967018399387598,7.7213735494297e-05,0.3919898569583893,-5.848445892333984,7.641740322113037,0.25
30,31000,1,1,186.8164210319519,26.127236423350563,5765.337338209152,6.33400297164917,0.011710206978023052,0.00012740249803755432,0.40540820360183716,-5.928467273712158,7.158076286315918,0.25
31,32000,1,1,197.4681830406189,26.650034320335553,5936.33234667778,6.412847518920898,0.011328371241688728,0.00011713577259797603,0.3755459189414978,-6.037184238433838,6.926577568054199,0.25
32,33000,1,1,209.58025693893433,27.172832217320543,6090.906623363495,6.297256946563721,0.011727942153811455,0.0001243914884980768,0.44298890233039856,-5.8541436195373535,7.156014919281006,0.25
33,34000,1,1,201.08237719535828,27.695630114305533,6238.628153324127,6.414830684661865,0.010059220716357231,8.660656021675095e-05,0.3989579975605011,-6.0157856941223145,7.227813720703125,0.25
34,35000,1,1,228.9830458164215,28.218428011290523,6421.752126932144,6.319582939147949,0.010622013360261917,9.292470349464566e-05,0.4137704372406006,-5.905719757080078,6.910526275634766,0.25
35,36000,1,1,246.457417011261,28.741225908275513,6606.46476316452,6.421520233154297,0.009080027230083942,6.51926311547868e-05,0.36798644065856934,-6.053468704223633,6.901642799377441,0.25
36,37000,1,1,234.54956889152527,29.264023805260504,6727.182055473328,6.361949920654297,0.012001877650618553,0.00011997099500149488,0.4416697919368744,-5.920159816741943,6.588677883148193,0.25
37,38000,1,1,221.8550009727478,29.786821702245494,6874.893987894058,6.379818439483643,0.010381119325757027,8.935669757192954e-05,0.393399178981781,-5.986330032348633,6.821845054626465,0.25
38,39000,1,1,214.3392288684845,30.28961562563804,7067.038356542587,6.351958751678467,0.00957448035478592,7.381012255791575e-05,0.37506356835365295,-5.976821422576904,6.756768226623535,0.25
39,40000,1,1,229.61067008972168,30.769837880386564,7248.144199132919,6.449916839599609,0.010237124748528004,9.050058724824339e-05,0.3968401849269867,-6.052986145019531,6.800074577331543,0.25
40,41000,1,1,238.4550929069519,31.25006013513509,7400.301092386246,6.386494159698486,0.009048616513609886,7.001969788689166e-05,0.3498061001300812,-6.036617755889893,6.982590675354004,0.25
41,42000,1,1,231.1426329612732,31.730282389883616,7564.69703745842,6.423575401306152,0.010139827616512775,9.075894195120782e-05,0.4027145206928253,-6.020770072937012,6.956581115722656,0.25
42,43000,1,1,275.96109795570374,32.21050464463214,7768.466716051102,6.325150489807129,0.00856547150760889,6.663503154413775e-05,0.3734821081161499,-5.951601505279541,7.5269880294799805,0.25
43,44000,1,1,273.07752203941345,32.690726899380664,7911.50483584404,6.297224998474121,0.006700822152197361,3.813318471657112e-05,0.3154374957084656,-5.981749534606934,8.031787872314453,0.25
44,45000,1,1,238.8091311454773,33.17094915412919,8123.733307123184,6.28166389465332,0.007641974836587906,4.877691389992833e-05,0.3647603988647461,-5.9168548583984375,7.974951267242432,0.25
45,46000,1,1,267.2117540836334,33.651171408877715,8319.68144416809,6.366060733795166,0.007698094937950373,5.194961340748705e-05,0.3835412859916687,-5.9824676513671875,8.518463134765625,0.25
46,47000,1,1,280.8763680458069,34.13139366362624,8460.724963903427,6.385730743408203,0.007821185514330864,5.1826969865942374e-05,0.4195813238620758,-5.966097354888916,8.964812278747559,0.25
47,48000,1,1,275.36512184143066,34.61161591837477,8605.310484170914,6.274297714233398,0.006112446077167988,3.2761789043433964e-05,0.3196756839752197,-5.954588890075684,9.333566665649414,0.25
48,49000,1,1,281.4607210159302,35.09183817312329,8767.733074188232,6.376650810241699,0.006827910430729389,4.113922477699816e-05,0.35542160272598267,-6.021188259124756,9.4517822265625,0.25
49,50000,1,1,272.1852068901062,35.57206042787182,8916.703431129456,6.368945121765137,0.007445333991199732,4.862413334194571e-05,0.39693984389305115,-5.971956729888916,9.63054370880127,0.25
50,51000,1,1,290.11156606674194,36.052282682620344,9089.593888521194,6.381686210632324,0.006266816519200802,3.27556008414831e-05,0.35354408621788025,-6.028109073638916,9.841606140136719,0.25
51,52000,1,1,283.69388914108276,36.53250493736887,9253.652169704437,6.355473518371582,0.005717477761209011,2.8409831429598853e-05,0.31664809584617615,-6.038796901702881,9.682516098022461,0.25
52,53000,1,1,336.1209979057312,37.012727192117396,9438.11160492897,6.38721227645874,0.0070947567000985146,4.566218558466062e-05,0.36760276556015015,-6.019563674926758,9.523628234863281,0.25
53,54000,1,1,305.19724321365356,37.49294944686592,9558.629539251328,6.362177848815918,0.006275448016822338,3.364669100847095e-05,0.3288385272026062,-6.033305644989014,9.208532333374023,0.25
54,55000,1,1,312.45560908317566,37.97317170161445,9679.174152851105,6.304286956787109,0.006188723724335432,3.4295168006792665e-05,0.3328142762184143,-5.971438407897949,9.565003395080566,0.25
55,56000,1,1,290.4482388496399,38.45339395636297,9840.267748117447,6.386723518371582,0.004644481930881739,1.782930121407844e-05,0.26468425989151,-6.122021675109863,9.833215713500977,0.25
56,57000,1,1,305.7695641517639,38.9226721577152,10049.29640340805,6.3189568519592285,0.005302008707076311,2.371005575696472e-05,0.287626713514328,-6.031306266784668,9.535161972045898,0.25
57,58000,1,1,327.96302318573,39.36237726454097,10202.786452770233,6.417874336242676,0.007290282286703587,4.5283592044143006e-05,0.38553541898727417,-6.032293796539307,9.256675720214844,0.25
58,59000,1,1,386.0658850669861,39.80208237136674,10323.31540799141,6.3976945877075195,0.006529554724693298,3.631004801718518e-05,0.33325833082199097,-6.0644001960754395,9.142970085144043,0.25
59,60000,1,1,335.3261179924011,40.24178747819251,10443.874961853027,6.299169540405273,0.0060271890833973885,2.9893029932281934e-05,0.30964311957359314,-5.989496231079102,9.048894882202148,0.25
60,61000,1,1,330.61543917655945,40.681492585018276,10652.785923957825,6.411474227905273,0.005993662402033806,3.0879105906933546e-05,0.2943865656852722,-6.117056846618652,8.833724021911621,0.25
61,62000,1,1,348.08571004867554,41.121197691844046,10825.393760681152,6.420048713684082,0.005860986653715372,2.8055432267137803e-05,0.30865779519081116,-6.111362934112549,9.025106430053711,0.25
62,63000,1,1,336.85959100723267,41.560902798669815,10984.219728469849,6.486563682556152,0.007069555576890707,4.7203575377352536e-05,0.3280675709247589,-6.158448696136475,8.672093391418457,0.25
63,64000,1,1,342.52291202545166,42.000607905495585,11190.255311727524,6.411396026611328,0.006748198065906763,4.1475926991552114e-05,0.2882402539253235,-6.123114109039307,8.400291442871094,0.25
64,65000,1,1,359.47967982292175,42.440313012321354,11325.32653594017,6.524084091186523,0.006876450031995773,4.227970202919096e-05,0.3022671639919281,-6.221774578094482,8.144553184509277,0.25
65,66000,1,1,364.6851098537445,42.880018119147124,11445.945566654205,6.424676418304443,0.007418545428663492,4.6380020648939535e-05,0.3096362054347992,-6.114994049072266,7.314610481262207,0.25
66,67000,1,1,417.3872969150543,43.31972322597289,11573.526963710785,6.52166223526001,0.010426785796880722,0.0001338333240710199,0.34800270199775696,-6.173525333404541,6.7755866050720215,0.25
67,68000,1,1,373.4561538696289,43.75942833279866,11694.016174077988,6.497297286987305,0.0069967336021363735,4.460647323867306e-05,0.27001243829727173,-6.227240085601807,6.882669925689697,0.25
68,69000,1,1,371.7163369655609,44.19913343962443,11860.906414747238,6.4955034255981445,0.008862391114234924,7.85079610068351e-05,0.29949355125427246,-6.195931434631348,6.530862331390381,0.25
69,70000,1,1,362.2801778316498,44.6388385464502,12053.20603299141,6.558437347412109,0.009619024582207203,9.345108992420137e-05,0.32459455728530884,-6.2337493896484375,6.21338415145874,0.25
70,71000,1,1,378.8430109024048,45.07854365327597,12213.8901283741,6.560482978820801,0.00796225294470787,5.3341784223448485e-05,0.30394965410232544,-6.256479740142822,6.223361492156982,0.25
71,72000,1,1,382.06023812294006,45.51824876010174,12361.284260511398,6.548710823059082,0.007482449058443308,4.766896745422855e-05,0.3012729585170746,-6.247390270233154,6.390675067901611,0.25
72,73000,1,1,387.6095359325409,45.95795386692751,12481.90628361702,6.596354961395264,0.006888559553772211,4.013736543129198e-05,0.2758445739746094,-6.320470333099365,6.370090961456299,0.25
73,74000,1,1,389.541620016098,46.39765897375328,12602.514281272888,6.5803070068359375,0.007675303611904383,4.830126272281632e-05,0.26972368359565735,-6.310534954071045,5.614077568054199,0.25
74,75000,1,1,425.53719997406006,46.83736408057905,12760.769327640533,6.514286994934082,0.010118817910552025,8.46620459924452e-05,0.3382902145385742,-6.175911903381348,5.491141319274902,0.25
75,76000,1,1,368.87695503234863,47.27706918740482,12932.780176639557,6.5587944984436035,0.009256361052393913,7.28886661818251e-05,0.30803999304771423,-6.250681400299072,5.281581401824951,0.25
76,77000,1,1,404.00470089912415,47.71677429423059,13103.043537855148,6.595511436462402,0.007804530207067728,4.9657581257633865e-05,0.2687325179576874,-6.3267292976379395,5.515881538391113,0.25
77,78000,1,1,409.5122740268707,48.15647940105636,13223.549811840057,6.557196617126465,0.010376239195466042,8.806402911432087e-05,0.36374300718307495,-6.193365573883057,5.423948764801025,0.25
78,79000,1,1,414.3604040145874,48.59618450788213,13344.094225406647,6.527950286865234,0.008932817727327347,7.176600774982944e-05,0.3427501320838928,-6.185128211975098,6.246054649353027,0.25
79,80000,1,1,479.96307396888733,49.0358896147079,13471.575822114944,6.5276055335998535,0.007049626670777798,4.33151944889687e-05,0.2885267436504364,-6.239035606384277,6.315492630004883,0.25
80,81000,1,1,421.80711603164673,49.47559472153367,13603.779322385788,6.49959659576416,0.007496656384319067,4.471432839636691e-05,0.34442049264907837,-6.1551313400268555,6.786168098449707,0.25
81,82000,1,1,436.7834680080414,49.91529982835944,13777.490241289139,6.5473785400390625,0.008689628913998604,6.522318290080875e-05,0.3606698215007782,-6.186643600463867,6.218863487243652,0.25
82,83000,1,1,447.10580587387085,50.35500493518521,13950.424041509628,6.494617462158203,0.007040771655738354,4.266030737198889e-05,0.2797832489013672,-6.214791774749756,5.788233280181885,0.25
83,84000,1,1,444.208359003067,50.794710042010976,14118.384811878204,6.547039985656738,0.007723486516624689,5.309107655193657e-05,0.2957462668418884,-6.2512407302856445,5.785312175750732,0.25
84,85000,1,1,446.4084460735321,51.234415148836746,14239.045362472534,6.5874738693237305,0.008784761652350426,7.057037146296352e-05,0.330462247133255,-6.256940841674805,6.240549564361572,0.25
85,86000,1,1,456.27684116363525,51.674120255662515,14399.987943172455,6.542505741119385,0.009375525638461113,8.705975778866559e-05,0.29652655124664307,-6.24589204788208,5.900378227233887,0.25
86,87000,1,1,461.3659589290619,52.113825362488285,14561.227674484253,6.480490684509277,0.7893679141998291,1.8775055408477783,-13.279190063476562,-17.88217544555664,6.215334892272949,0.25
87,88000,1,1,511.43717098236084,52.553530469314055,14692.72530245781,6.6790032386779785,0.4064927101135254,0.46636494994163513,-0.48164719343185425,-6.6942853927612305,6.477053165435791,0.25
88,89000,1,1,462.4726278781891,52.993235576139824,14813.26387500763,6.657571792602539,0.018054362386465073,0.0003325888537801802,0.30113500356674194,-6.356104373931885,6.508659362792969,0.25
89,90000,1,1,470.13833713531494,53.40752044253367,14933.903104543686,6.598421096801758,0.017945369705557823,0.0004051616124343127,0.3181542754173279,-6.2798614501953125,6.913046836853027,0.25
90,91000,1,1,465.8921489715576,53.80860959064772,15142.585977077484,6.750411033630371,0.025222614407539368,0.00094262306811288,0.4497643709182739,-6.299704074859619,7.446554660797119,0.25
91,92000,1,1,478.7119851112366,54.20969873876177,15264.764425039291,6.5883469581604,0.014723601751029491,0.00019250228069722652,0.3660431504249573,-6.222111225128174,7.820359230041504,0.25
92,93000,1,1,482.97596192359924,54.610787886875826,15385.379979372025,6.6468119621276855,0.010722446255385876,9.035976836457849e-05,0.28168758749961853,-6.365034103393555,7.204249382019043,0.25
93,94000,1,1,487.25257301330566,55.01187703498988,15517.75052690506,6.674213886260986,0.012885237112641335,0.0001359648013021797,0.3472645580768585,-6.326813220977783,6.917746067047119,0.25
94,95000,1,1,481.03323698043823,55.41296618310393,15666.894306182861,6.676712989807129,0.011637060903012753,0.00010844617645489052,0.34924018383026123,-6.327364444732666,7.208502769470215,0.25
95,96000,1,1,477.00821590423584,55.814055331217986,15833.807918548584,6.573375701904297,0.010209856554865837,9.536145080346614e-05,0.3145977854728699,-6.258682727813721,7.069737434387207,0.25
