,Unnamed: 0,Iter,Noise,Clip,Priv_Calc_Time,Epsilon,Train_Time,Revenue,Regret,Reg_Loss,Lag_Loss,Net_Loss,w_rgt_mean,update_rate
0,0,1000,,,,,164.96579098701474,7.845035076141357,0.13666605949401855,0.023470355197787285,0.978193461894989,-6.843371391296388,1.4320645332336426,0.5
1,1,2000,,,,,329.23636150360113,7.7116031646728525,0.11266978085041045,0.02399507537484169,1.1648060083389282,-6.5228023529052725,2.0654761791229252,0.75
2,2,3000,,,,,493.9187343120575,7.158987998962402,0.07087241113185883,0.012596634216606615,0.9660775661468506,-6.180314064025879,2.726287364959717,1.0
3,3,4000,,,,,658.5415499210358,7.007381916046143,0.053136806935071945,0.009176795370876787,0.8831432461738586,-6.1150617599487305,3.31521987915039,1.25
4,0,1000,0.3,1.0,4.6379170417785645,27.35105826586857,165.2493600845337,7.875365257263184,0.13260546326637268,0.02208390831947327,0.8846309781074524,-6.968650341033936,1.3396636247634888,0.5
5,1,2000,0.3,1.0,8.733587980270388,41.74936081213977,330.06486010551447,7.74977445602417,0.12285610288381575,0.03134842589497566,1.085219144821167,-6.633207321166992,1.842791199684143,0.75
6,2,3000,0.3,1.0,12.851840019226074,54.07038892369114,494.63473272323614,7.374837875366211,0.07847844064235687,0.016869956627488136,0.9256463050842284,-6.432321548461914,2.4664597511291504,1.0
7,3,4000,0.3,1.0,17.099709033966064,64.08475601844947,659.4661393165587,6.990588188171388,0.04308301955461502,0.007305452600121498,0.6645427942276001,-6.318739891052246,3.620558977127075,1.25
8,0,1000,0.3,10.0,4.627638816833496,27.35105826586857,165.23615169525146,7.083948612213135,0.17066225409507751,0.06509095430374147,1.4664278030395508,-5.552429676055908,1.1842224597930908,0.5
9,1,2000,0.3,10.0,8.888890027999876,41.74936081213977,330.10840439796453,0.00013169171870686114,2.847498035407625e-05,3.657705249793253e-09,-0.00023791161947883663,-0.00036959967110306025,1.3582870960235596,0.75
10,2,3000,0.3,10.0,12.966262102127075,54.07038892369114,494.6985206604004,6.74505572533235e-05,1.3864197171642443e-05,1.4226296807251515e-09,9.634429443394764e-05,2.8895163268316534e-05,4.7002525329589835,1.0
11,3,4000,0.3,10.0,17.119019985198975,64.08475601844947,659.4889688491821,2.6127185265067965e-05,5.3285975809558295e-06,3.174505103231695e-10,-6.807070167269558e-05,-9.419756679562852e-05,10.955730438232422,1.25
12,0,1000,0.3,50.0,4.685118913650513,27.35105826586857,165.4963662624359,4.909214973449707,0.981843113899231,6.024507999420166,-34.97833633422852,-33.86304473876953,-0.06536360085010529,0.5
13,1,2000,0.3,50.0,8.814185857772829,41.74936081213977,330.492160320282,5.155003547668457,1.0310006141662598,9.965103149414062,-82.04267883300781,-77.23258209228516,-3.3828091621398926,0.75
14,2,3000,0.3,50.0,13.047739028930664,54.07038892369114,495.5638842582703,4.925891399383545,0.9851781725883484,9.92771816253662,120.03253936767578,125.03436279296876,-0.9225502014160156,1.0
15,3,4000,0.3,50.0,17.237307071685787,64.08475601844947,660.4327681064607,1.4458451271057131,0.289169043302536,1.3064439296722412,-14.460016250610352,-14.599417686462402,31.94073486328125,1.25
16,0,1000,0.5,1.0,6.3503479957580575,9.402942124577429,165.4862766265869,7.8725318908691415,0.1328938752412796,0.022164680063724518,0.8626205325126648,-6.987746715545653,1.3045300245285034,0.5
17,1,2000,0.5,1.0,12.106981039047241,13.296449119151411,330.4947459697724,7.818986892700195,0.13155657052993774,0.038216445595026016,1.0058670043945312,-6.774903297424316,1.718698501586914,0.75
18,2,3000,0.5,1.0,17.165255069732662,16.85941030838167,495.4961559772492,7.466292381286621,0.09156303107738496,0.02488864585757256,0.9786027669906616,-6.462800979614258,2.3610334396362305,1.0
19,3,4000,0.5,1.0,22.74970078468323,19.822031813242365,660.3324356079103,6.995981216430664,0.06039407104253769,0.019416958093643192,0.8369779586791992,-6.139586448669434,4.020945549011231,1.25
20,0,1000,0.5,10.0,6.1551148891448975,9.402942124577429,165.36877727508542,7.589072227478027,0.18494097888469696,0.05758003517985344,1.221973538398743,-6.309518814086914,1.2565100193023682,0.5
21,1,2000,0.5,10.0,11.695024967193605,13.296449119151411,330.27598357200617,5.074414253234863,0.9378061294555664,6.5978050231933585,-11.262189865112305,-9.738799095153807,2.360701322555542,0.75
22,2,3000,0.5,10.0,17.356340885162357,16.85941030838167,495.08289074897766,2.031413078308105,0.4062802195549011,2.062971830368042,-0.6611736416816711,-0.6296148896217346,4.764023303985597,1.0
23,3,4000,0.5,10.0,23.104363918304443,19.822031813242365,659.6614944934845,2.494589805603028,0.4989533424377442,3.8885867595672607,-18.89950180053711,-17.505504608154293,16.275711059570312,1.25
24,0,1000,0.5,50.0,6.196070194244385,9.402942124577429,165.46388339996338,4.94303035736084,0.9886048436164856,6.1083130836486825,40.71436309814453,41.87964630126953,-2.142452478408813,0.5
25,1,2000,0.5,50.0,11.901936054229735,13.296449119151411,330.4277710914612,5.184244155883789,1.036848783493042,5.194458484649658,-240.66287231445312,-240.6526641845703,-11.121475219726562,0.75
26,2,3000,0.5,50.0,17.404699802398678,16.85941030838167,495.4996509552002,5.048654556274414,1.0097309350967407,8.596475601196289,-4.845945835113525,-1.2981247901916504,-12.019987106323242,1.0
27,3,4000,0.5,50.0,23.16754698753357,19.822031813242365,660.3221833705903,4.12387752532959,0.8247755169868469,6.649882316589356,-61.63785934448242,-59.111854553222656,46.78562545776367,1.25
