,Unnamed: 0,Player,Iter,Noise,Clip,Priv_Calc_Time,Epsilon,Train_Time,Revenue,Regret,Reg_Loss,Lag_Loss,Net_Loss,w_rgt_mean,update_rate
0,0,model-owner,1000,0.0001,0.1,0.08852338790893555,550000096.8658913,40.140229225158684,0.6514750123023987,0.0018705443944782016,1.7494681969765224e-06,0.009518367238342762,-0.6419548988342285,5.088554382324219,1.0
1,1,model-owner,2000,0.0001,0.1,0.10981130599975586,1100000124.65423,77.28840517997743,0.6440776586532593,0.0017577090766280892,1.5447706118720816e-06,0.0090666301548481,-0.6350094676017761,5.158208847045898,1.0
2,2,model-owner,3000,0.0001,0.1,0.11768627166748047,1650000152.4425685,116.07562160491943,0.6309717893600464,0.0006611438584513963,2.1855559850791908e-07,0.003451129421591759,-0.6275204420089722,5.219937324523926,1.0
3,3,model-owner,4000,0.0001,0.1,0.1413562297821045,2200000180.230907,153.44546675682068,0.5992008447647095,0.0007883470389060676,3.1074551998244715e-07,0.004177843686193228,-0.5950226783752441,5.299498081207275,1.0
4,4,model-owner,5000,0.0001,0.1,0.16327953338623047,2750000208.019245,191.27197360992432,0.6220080256462097,0.0009913459653034806,4.913833890896058e-07,0.005324803292751311,-0.616682767868042,5.371286392211914,1.0
5,5,model-owner,6000,0.0001,0.1,0.15015459060668945,3300000235.8075843,229.3040509223938,0.6193389892578125,0.0006428621127270162,2.0663584621161132e-07,0.003495031269267201,-0.6158437728881836,5.436673164367676,1.0
6,6,model-owner,7000,0.0001,0.1,0.20121383666992188,3850000263.5959225,267.82622694969183,0.621364414691925,0.0008055103244259952,3.2442343922411965e-07,0.00442153075709939,-0.6169425845146179,5.489105224609375,1.0
7,7,model-owner,8000,0.0001,0.1,0.22196674346923828,4400000291.384261,305.32149982452387,0.6648572683334351,0.0012914548860862851,8.33927856547234e-07,0.00717101339250803,-0.657685399055481,5.5526628494262695,1.0
8,8,model-owner,9000,0.0001,0.1,0.25690126419067383,4950000319.172595,344.4220972061157,0.6182874441146851,0.000519278459250927,1.3482505778483755e-07,0.0029155113734304905,-0.615371823310852,5.614543437957764,1.0
9,9,model-owner,10000,0.0001,0.1,0.444488525390625,5500000346.960929,382.6808476448059,0.6745286583900452,0.0008930815965868534,2.0338666217867285e-05,0.0053734653629362574,-0.6691348552703857,6.016768455505371,51.0
10,10,model-owner,11000,0.0001,0.1,0.28074002265930176,6050000374.749263,421.86939549446106,0.6061888933181763,0.0002316222962690517,1.3680466963705842e-06,0.0018527316860854626,-0.6043347716331482,7.998934745788574,51.0
11,11,model-owner,12000,0.0001,0.1,0.3887763023376465,6600000402.537597,461.10386085510254,0.6351081728935242,0.00022116153559181842,1.2472668231566786e-06,0.0021180405747145414,-0.6329888701438904,9.57689380645752,51.0
12,12,model-owner,13000,0.0001,0.1,0.3781836032867432,7150000430.325932,499.53380918502813,0.6051967740058899,5.775320823886432e-05,8.505354287535738e-08,0.000613252748735249,-0.6045834422111511,10.618505477905273,51.0
13,13,model-owner,14000,0.0001,0.1,0.4216804504394531,7700000458.1142645,537.7190256118773,0.6128721833229065,5.140414941706695e-05,6.738086000268595e-08,0.0006013761158101262,-0.6122707724571228,11.698980331420898,51.0
